"variable","label","description"
"allegations_harass_religion","Allegations of harassment or bullying on the basis of religion","Harassment or bullying on the basis of religion refers to intimidation or abusive behavior toward a student based on actual or perceived religion. Harassing conduct may take many forms, including verbal acts and name-calling, as well as nonverbal behavior, such as graphic and written statements, or conduct that is physically threatening, harmful, or humiliating. The conduct can be carried out by school employees, other students, and nonemployee third parties. Bullying on the basis of religion constitutes religious harassment."
"students_disc_harass_dis","Number of students disciplined for bullying or harassment on the basis of disability","Harassment or bullying on the basis of disability refers to intimidation or abusive behavior toward a student based on actual or perceived disability. Harassing conduct may take many forms, including verbal acts and name-calling, as well as nonverbal behavior, such as graphic and written statements, or conduct that is physically threatening, harmful, or humiliating. The conduct can be carried out by school employees, other students, and nonemployee third parties. Bullying on the basis of disability constitutes disability harassment."
"students_disc_harass_race","Number of students disciplined for bullying or harassment on the basis of race, color, or national origin","Harassment or bullying on the basis of race, color, or national origin refers to intimidation or abusive behavior toward a student based on actual or perceived race, color or national origin. Harassing conduct may take many forms, including verbal acts and name-calling, as well as nonverbal behavior, such as graphic and written statements, or conduct that is physically threatening, harmful, or humiliating. The conduct can be carried out by school employees, other students, and nonemployee third parties. Bullying on the basis of race, color, or national origin constitutes racial harassment."
"students_disc_harass_sex","Number of students disciplined for bullying or harassment on the basis of sex","Harassment or bullying on the basis of sex includes sexual harassment or bullying and gender-based harassment or bullying. Sexual harassment or bullying is unwelcome conduct of a sexual nature, such as unwelcome sexual advances, requests for sexual favors, and other verbal, nonverbal, or physical conduct of a sexual nature. Gender-based harassment or bullying is nonsexual intimidation or abusive behavior toward a student based on the student’s actual or perceived sex, including harassment based on gender identity, gender expression, and nonconformity with gender stereotypes. Harassing conduct may take many forms, including verbal acts and name-calling, as well as nonverbal behavior, such as graphic and written statements, or conduct that is physically threatening, harmful, or humiliating. The conduct can be carried out by school employees, other students, and nonemployee third parties. Both male and female students can be victims of harassment or bullying on the basis of sex, and the harasser or bully and the victim can be of the same sex. Bullying on the basis of sex constitutes sexual harassment."
"students_report_harass_dis","Number of students harassed or bullied on the basis of disability","Harassment or bullying on the basis of disability refers to intimidation or abusive behavior toward a student based on actual or perceived disability. Harassing conduct may take many forms, including verbal acts and name-calling, as well as nonverbal behavior, such as graphic and written statements, or conduct that is physically threatening, harmful, or humiliating. The conduct can be carried out by school employees, other students, and nonemployee third parties. Bullying on the basis of disability constitutes disability harassment."
"students_report_harass_race","Number of students harassed or bullied on the basis of race, color, or national origin","Harassment or bullying on the basis of race, color, or national origin refers to intimidation or abusive behavior toward a student based on actual or perceived race, color or national origin. Harassing conduct may take many forms, including verbal acts and name-calling, as well as nonverbal behavior, such as graphic and written statements, or conduct that is physically threatening, harmful, or humiliating. The conduct can be carried out by school employees, other students, and nonemployee third parties. Bullying on the basis of race, color, or national origin constitutes racial harassment."
"students_report_harass_sex","Number of students harassed or bullied on the basis of sex","Harassment or bullying on the basis of sex includes sexual harassment or bullying and gender-based harassment or bullying. Sexual harassment or bullying is unwelcome conduct of a sexual nature, such as unwelcome sexual advances, requests for sexual favors, and other verbal, nonverbal, or physical conduct of a sexual nature. Gender-based harassment or bullying is nonsexual intimidation or abusive behavior toward a student based on the student’s actual or perceived sex, including harassment based on gender identity, gender expression, and nonconformity with gender stereotypes. Harassing conduct may take many forms, including verbal acts and name-calling, as well as nonverbal behavior, such as graphic and written statements, or conduct that is physically threatening, harmful, or humiliating. The conduct can be carried out by school employees, other students, and nonemployee third parties. Both male and female students can be victims of harassment or bullying on the basis of sex, and the harasser or bully and the victim can be of the same sex. Bullying on the basis of sex constitutes sexual harassment."
"instances_mech_restraint","Number of instances of mechanical restraint","Mechanical restraint refers to the use of any device or equipment to restrict a student’s freedom of movement. The term does not include devices implemented by trained school personnel or used by a student that have been prescribed by an appropriate medical or related services professional and are used for the specific and approved purposes for which such devices were designed. These devices include adaptive devices or mechanical supports used to achieve proper body position, balance, or alignment to allow greater freedom of mobility than would be possible without the use of such devices or mechanical supports; vehicle safety restraints when used as intended during the transport of a student in a moving vehicle; restraints for medical immobilization; and orthopedically prescribed devices that permit a student to participate in activities without risk of harm."
"instances_phys_restraint","Number of instances of physical restraint","Physical restraint refers to a personal restriction that immobilizes or reduces the ability of a student to move his or her torso, arms, legs, or head freely. The term physical restraint does not include a physical escort. Physical escort means a temporary touching or holding of the hand, wrist, arm, shoulder, or back for the purpose of inducing a student who is acting out to walk to a safe location."
"instances_seclusion","Number of instances of seclusion","Seclusion refers to the involuntary confinement of a student alone in a room or area from which the student is physically prevented from leaving. It does not include a time-out, which is a behavior management technique that is part of an approved program, involves the monitored separation of the student in a nonlocked setting, and is implemented for the purpose of calming."
"students_mech_restraint","Number of students subjected to mechanical restraint","Mechanical restraint refers to the use of any device or equipment to restrict a student’s freedom of movement. The term does not include devices implemented by trained school personnel, or utilized by a student that have been prescribed by an appropriate medical or related services professional and are used for the specific and approved purposes for which such devices were designed, such as:-Adaptive devices or mechanical supports used to achieve proper body position, balance, or alignment to allow greater freedom of mobility than would be possible without the use of such devices or mechanical supports; -Vehicle safety restraints when used as intended during the transport of a student in a moving vehicle; -Restraints for medical immobilization; or-Orthopedically prescribed devices that permit a student to participate in activities without risk of harm."
"students_phys_restraint","Number of students subjected to physical restraint","Physical restraint refers to a personal restriction that immobilizes or reduces the ability of a student to move his or her torso, arms, legs, or head freely. The term physical restraint does not include a physical escort. Physical escort means a temporary touching or holding of the hand, wrist, arm, shoulder or back for the purpose of inducing a student who is acting out to walk to a safe location."
"students_seclusion","Number of students subjected to seclusion","Seclusion refers to the involuntary confinement of a student alone in a room or area from which the student is physically prevented from leaving. It does not include a timeout, which is a behavior management technique that is part of an approved program, involves the monitored separation of the student in a non-locked setting, and is implemented for the purpose of calming."
